latitude,longitude
39.238,-112.5586
39.238,-112.5584
39.238,-112.5584
39.2379,-112.5583
39.2379,-112.5583
39.2379,-112.5583
39.2378,-112.5583
39.2377,-112.5581
39.2377,-112.558
39.2377,-112.5578
39.2377,-112.5576
39.2378,-112.5575
39.2378,-112.5575
39.2378,-112.5566
39.2377,-112.5572
39.2377,-112.5573
39.2377,-112.557
39.2376,-112.5569
39.2376,-112.5568
39.2376,-112.5567
39.2375,-112.5567
39.2374,-112.5567
39.2373,-112.5566
39.2372,-112.5565
39.2372,-112.5563
39.2371,-112.556
39.2372,-112.5559
39.2372,-112.5557
39.2372,-112.5556
39.2371,-112.5556
39.2371,-112.5555
39.237,-112.5554
39.237,-112.5552
39.2369,-112.5549
39.2369,-112.5547
39.2369,-112.5546
39.2369,-112.5545
39.2369,-112.5544
39.2369,-112.5543
39.2369,-112.5542
39.2368,-112.5541
39.2367,-112.5539
39.2367,-112.5537
39.2367,-112.5535
39.2368,-112.5534
39.2368,-112.5532
39.2367,-112.5531
39.2366,-112.553
39.2366,-112.5529
39.2367,-112.5521
39.2365,-112.552
39.2364,-112.5519
39.2364,-112.5516
39.2364,-112.5515
39.2364,-112.5513
39.2364,-112.5513
39.2363,-112.5511
39.2363,-112.551
39.2362,-112.5507
39.2362,-112.5505
39.2362,-112.5503
39.2363,-112.5501
39.2363,-112.55
39.2363,-112.5499
39.2363,-112.5498
39.2362,-112.5497
39.2362,-112.5495
39.2362,-112.5493
39.2362,-112.5491
39.2362,-112.5489
39.2363,-112.5487
39.2363,-112.5486
39.2363,-112.5485
39.2363,-112.5484
39.2363,-112.5482
39.2363,-112.5481
39.2363,-112.5478
39.2364,-112.5476
39.2364,-112.5475
39.2365,-112.5474
39.2365,-112.5473
39.2365,-112.5472
39.2364,-112.5471
39.2364,-112.5469
39.2364,-112.5467
39.2364,-112.5465
39.2364,-112.5462
39.2364,-112.546
39.2364,-112.5459
39.2363,-112.5457
39.2362,-112.5456
39.2361,-112.5454
39.2361,-112.5452
39.2361,-112.545
39.236,-112.5448
39.236,-112.5447
39.236,-112.5446
39.2359,-112.5445
39.2358,-112.5444
39.2357,-112.5443
39.2356,-112.5441
39.2355,-112.5439
39.2355,-112.5437
39.2354,-112.5435
39.2354,-112.5434
39.2354,-112.5433
39.2353,-112.5432
39.2352,-112.543
39.2351,-112.5429
39.235,-112.5427
39.2349,-112.5424
39.2349,-112.5422
39.2349,-112.542
39.2349,-112.5418
39.2348,-112.5416
39.2348,-112.5415
39.2347,-112.5413
39.2346,-112.5411
39.2345,-112.5409
39.2345,-112.5406
39.2345,-112.5403
39.2345,-112.5401
39.2345,-112.5398
39.2345,-112.5395
39.2345,-112.5394
39.2344,-112.5392
39.2343,-112.539
39.2342,-112.5388
39.2342,-112.5385
39.2342,-112.5382
39.2342,-112.538
39.2342,-112.5379
39.2341,-112.5377
39.234,-112.5375
39.234,-112.5373
39.2339,-112.5371
39.2339,-112.5368
39.2339,-112.5366
39.2339,-112.5363
39.2339,-112.5362
39.2339,-112.536
39.2338,-112.5359
39.2338,-112.5357
39.2337,-112.5355
39.2336,-112.5352
39.2336,-112.535
39.2336,-112.5347
39.2336,-112.5345
39.2336,-112.5343
39.2335,-112.5342
39.2334,-112.534
39.2333,-112.5338
39.2332,-112.5336
39.2331,-112.5334
39.2331,-112.5331
39.2331,-112.5329
39.233,-112.5327
39.233,-112.5325
39.2329,-112.5323
39.2327,-112.532
39.2326,-112.5317
39.2325,-112.5314
39.2325,-112.5312
39.2324,-112.531
39.2324,-112.5308
39.2323,-112.5306
39.2323,-112.5305
39.2322,-112.5303
39.232,-112.5301
39.2319,-112.5299
39.2318,-112.5296
39.2316,-112.5291
