latitude,longitude
39.3179,-112.5753
39.3178,-112.5753
39.3177,-112.5753
39.3177,-112.5752
39.3176,-112.5752
39.3175,-112.5751
39.3174,-112.575
39.3173,-112.575
39.3171,-112.575
39.317,-112.575
39.3169,-112.5749
39.3168,-112.5749
39.3167,-112.575
39.3164,-112.575
39.3163,-112.575
39.3162,-112.575
39.3161,-112.5749
39.316,-112.5748
39.3159,-112.5748
39.3158,-112.5747
39.3157,-112.5747
39.3156,-112.5747
39.3155,-112.5746
39.3154,-112.5746
39.3153,-112.5746
39.3152,-112.5745
39.3151,-112.5745
39.3151,-112.5745
39.315,-112.5745
39.315,-112.5745
39.3149,-112.5745
39.3148,-112.5745
39.3147,-112.5745
39.3146,-112.5745
39.3145,-112.5745
39.3144,-112.5745
39.3143,-112.5744
39.3142,-112.5744
39.3142,-112.5744
39.3141,-112.5744
39.3141,-112.5744
39.314,-112.5744
39.3139,-112.5744
39.3138,-112.5744
39.3137,-112.5744
39.3136,-112.5743
39.3135,-112.5743
39.3134,-112.5742
39.3133,-112.5742
39.3132,-112.5742
39.3131,-112.5742
39.313,-112.5742
39.3129,-112.5742
39.3128,-112.5741
39.3127,-112.574
39.3126,-112.574
39.3126,-112.5739
39.3125,-112.5739
39.3125,-112.5738
39.3124,-112.5738
39.3123,-112.5737
39.3123,-112.5737
39.3122,-112.5736
39.3122,-112.5736
39.3121,-112.5736
39.312,-112.5736
39.3119,-112.5736
39.3118,-112.5736
39.3117,-112.5736
39.3116,-112.5736
39.3116,-112.5736
39.3115,-112.5737
39.3114,-112.5737
39.3111,-112.5738
39.311,-112.5738
39.3108,-112.5738
39.3107,-112.5738
39.3106,-112.5738
39.3105,-112.5739
39.3105,-112.5739
39.3104,-112.574
39.3103,-112.5741
39.3103,-112.5741
39.3103,-112.5741
39.3102,-112.5741
39.3102,-112.5741
39.3101,-112.574
39.31,-112.5739
39.3099,-112.5739
39.3098,-112.5738
39.3097,-112.5738
39.3097,-112.5737
39.3097,-112.5737
39.3096,-112.5736
39.3096,-112.5736
39.3096,-112.5736
39.3095,-112.5736
39.3094,-112.5737
39.3093,-112.5736
39.3092,-112.5736
39.3091,-112.5736
39.3091,-112.5736
39.309,-112.5735
39.3089,-112.5734
39.3089,-112.5733
39.3089,-112.5733
39.3088,-112.5732
39.3088,-112.5732
39.3088,-112.5732
39.3087,-112.5731
39.3087,-112.5731
39.3087,-112.5731
39.3087,-112.5731
39.3087,-112.5731
39.3087,-112.573
39.3087,-112.573
39.3086,-112.573
39.3086,-112.573
39.3086,-112.573
39.3085,-112.5729
39.3085,-112.5729
39.3084,-112.5727
39.3083,-112.5726
39.3083,-112.5725
39.3082,-112.5725
39.3082,-112.5725
39.3081,-112.5725
39.3081,-112.5724
39.308,-112.5724
39.3079,-112.5724
39.3079,-112.5724
39.3078,-112.5722
39.3077,-112.5721
39.3076,-112.572
39.3076,-112.5719
39.3076,-112.5718
39.3076,-112.5717
39.3075,-112.5716
39.3075,-112.5715
39.3075,-112.5714
39.3074,-112.5713
39.3074,-112.5713
39.3074,-112.5712
39.3074,-112.5712
39.3073,-112.5711
39.3072,-112.571
39.3072,-112.5709
39.3071,-112.5708
39.3071,-112.5707
39.3071,-112.5706
39.307,-112.5705
39.307,-112.5705
39.307,-112.5704
39.307,-112.5703
39.307,-112.5702
39.3071,-112.57
39.3071,-112.5699
39.3071,-112.5698
39.307,-112.5697
39.307,-112.5695
39.307,-112.5694
39.307,-112.5693
39.3069,-112.5692
39.3069,-112.5691
39.3069,-112.569
39.3069,-112.5689
39.3069,-112.5688
39.3068,-112.5686
39.3068,-112.5685
39.3067,-112.5684
39.3067,-112.5683
39.3066,-112.5682
39.3066,-112.5682
39.3065,-112.5681
39.3064,-112.5681
39.3064,-112.5681
39.3063,-112.568
39.3063,-112.568
39.3062,-112.5679
39.3062,-112.5679
39.3061,-112.5678
39.3061,-112.5677
39.3061,-112.5676
39.3061,-112.5675
39.306,-112.5674
39.306,-112.5673
39.3059,-112.5672
39.3059,-112.5671
39.3059,-112.5671
39.3059,-112.567
39.3059,-112.567
39.3059,-112.5669
39.3059,-112.5667
39.3059,-112.5667
39.3058,-112.5666
39.3058,-112.5666
39.3058,-112.5665
39.3058,-112.5665
39.3058,-112.5665
39.3057,-112.5664
39.3057,-112.5663
39.3056,-112.5663
39.3055,-112.5662
39.3055,-112.5662
39.3054,-112.5661
39.3054,-112.566
39.3053,-112.5659
39.3053,-112.5658
39.3052,-112.5657
39.3051,-112.5656
39.305,-112.5655
39.305,-112.5655
39.3049,-112.5654
39.3048,-112.5654
39.3047,-112.5654
39.3046,-112.5654
39.3045,-112.5654
39.3045,-112.5654
39.3044,-112.5654
39.304,-112.5672
39.3039,-112.564
39.3034,-112.5648
39.3037,-112.5647
39.3038,-112.5645
39.3037,-112.5637
39.3035,-112.5636
39.3034,-112.5635
39.3032,-112.5634
39.3031,-112.5632
39.3031,-112.5631
39.3031,-112.563
39.303,-112.5629
39.303,-112.5628
39.3029,-112.5628
39.3029,-112.5627
39.3028,-112.5627
39.3028,-112.5626
39.3027,-112.5626
39.3027,-112.5625
39.3027,-112.5624
39.3027,-112.5624
39.3027,-112.5623
39.3026,-112.5622
39.3026,-112.5621
39.3026,-112.5621
39.3025,-112.562
39.3025,-112.5618
39.3024,-112.5617
39.3023,-112.5616
39.3022,-112.5615
39.3022,-112.5614
39.3021,-112.5613
39.302,-112.5612
39.3019,-112.5611
39.3018,-112.5611
39.3018,-112.561
39.3017,-112.5609
39.3017,-112.5609
39.3016,-112.5608
39.3016,-112.5608
39.3016,-112.5607
39.3015,-112.5607
39.3014,-112.5606
39.3013,-112.5605
39.3012,-112.5605
39.3012,-112.5604
39.3011,-112.5603
39.301,-112.5602
39.301,-112.5601
39.3009,-112.56
39.3009,-112.5599
39.3008,-112.5598
39.3008,-112.5597
39.3008,-112.5596
39.3008,-112.5595
39.3007,-112.5594
39.3007,-112.5593
39.3006,-112.5592
39.3006,-112.5591
39.3005,-112.559
39.3005,-112.5588
39.3005,-112.5587
39.3004,-112.5586
39.3004,-112.5585
39.3004,-112.5584
39.3003,-112.5584
39.3003,-112.5583
39.3002,-112.5583
39.3001,-112.5583
39.3,-112.5582
39.2999,-112.5581
39.2999,-112.558
39.2998,-112.5579
39.2997,-112.5578
39.2997,-112.5577
39.2996,-112.5576
39.2996,-112.5576
39.2995,-112.5575
39.2995,-112.5574
39.2995,-112.5573
39.2994,-112.5572
39.2994,-112.5571
39.2994,-112.557
39.2993,-112.5569
39.2993,-112.5568
39.2992,-112.5567
39.2992,-112.5566
39.2992,-112.5565
39.2992,-112.5564
39.2992,-112.5563
39.2991,-112.5563
39.2991,-112.5562
39.2991,-112.5561
39.299,-112.5561
39.299,-112.5561
39.2989,-112.5561
39.2989,-112.5561
39.2988,-112.5561
39.2987,-112.556
39.2984,-112.5554
39.2981,-112.5542
39.2982,-112.5541
39.2982,-112.5541
39.2981,-112.5545
39.2981,-112.5544
39.2982,-112.5545
39.2981,-112.5543
39.2981,-112.5541
39.298,-112.5539
39.298,-112.5537
39.2979,-112.5536
39.2979,-112.5535
39.2978,-112.5534
39.2978,-112.5534
39.2976,-112.5531
39.2976,-112.5531
39.2975,-112.5529
39.2975,-112.5528
39.2975,-112.5527
39.2974,-112.5527
39.2974,-112.5526
39.2973,-112.5525
39.2973,-112.5524
39.2972,-112.5523
39.2972,-112.5522
39.2971,-112.5521
39.297,-112.5519
39.2969,-112.5518
39.2967,-112.5517
39.2966,-112.5516
39.2965,-112.5516
39.2964,-112.5515
39.2963,-112.5515
39.2962,-112.5515
39.2962,-112.5514
39.2961,-112.5514
39.296,-112.5513
39.2959,-112.5513
39.2958,-112.5512
39.2957,-112.551
39.2956,-112.5509
39.2955,-112.5507
39.2955,-112.5505
39.2954,-112.5504
39.2953,-112.5503
39.2952,-112.5503
39.2951,-112.5502
39.2951,-112.5502
39.295,-112.5501
39.295,-112.55
39.2949,-112.5499
39.2948,-112.5498
39.2948,-112.5497
39.2947,-112.5497
39.2946,-112.5497
39.2945,-112.5496
39.2944,-112.5496
39.2943,-112.5495
39.2942,-112.5494
39.2941,-112.5493
39.294,-112.5492
39.2939,-112.549
39.2938,-112.5489
39.2937,-112.5487
39.2937,-112.5486
39.2936,-112.5485
39.2935,-112.5484
39.2935,-112.5483
39.2934,-112.5483
39.2933,-112.5483
39.2932,-112.5482
39.2931,-112.5482
39.293,-112.5482
39.2928,-112.5481
39.2927,-112.548
39.2926,-112.548
39.2925,-112.5479
39.2924,-112.5478
39.2923,-112.5477
39.2922,-112.5476
39.2921,-112.5475
