time_bucket_2_accel,x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
2126,0.17,0.94,-10.16,508
2127,0.43,0.11,-7.33,508
2128,0.84,1.09,-9.81,508
2129,0.2,0.23,-10.39,508
2130,0.91,0.19,-11.28,508
2131,1.51,0.75,-10.66,508
2132,1.06,0.79,-8.69,508
2133,0.95,0.08,-9.69,508
2134,0.88,0.08,-10.86,508
2135,0.39,0.72,-11.17,508
2136,0.13,0.41,-9.66,508
2137,0.69,0.6,-8.88,508
2138,1.47,1.2,-9.77,508
2139,1.66,1.24,-10.43,508
2140,1.96,-0.45,-11.36,508
2141,1.14,1.2,-11.51,508
2142,-0.06,1.8,-10.93,508
2143,-0.43,0.08,-10.74,508
2144,0.54,0.08,-9.27,508
2145,0.95,0.45,-10,508
2146,1.03,0.53,-10.12,508
2147,0.43,0,-10.31,508
2148,0.17,0.75,-10.12,508
2149,0.17,1.62,-10.66,508
2150,0.13,0.94,-9.73,508
2151,0.95,0,-9.85,508
2152,0.99,0.08,-9.73,508
2153,0.95,0.83,-9.04,508
2154,1.06,1.32,-8.46,508
2155,1.18,1.17,-9.85,508
2156,0.84,1.24,-10.66,508
2157,0.8,1.32,-10.08,508
2159,0.65,0.87,-9.27,508
2160,0.91,0.53,-10.62,508
2161,1.18,0.83,-10.24,508
2162,0.76,1.2,-9.46,508
2163,0.17,0.98,-8.84,508
2164,0.17,0.72,-8.42,508
2165,1.18,0.08,-10.39,508
2166,1.44,0.19,-10.78,508
2167,1.21,1.35,-9.85,508
2168,0.95,1.2,-10.16,508
2169,0.17,0.53,-10.97,508
2170,0.2,0.75,-11.28,508
2171,0.35,1.77,-11.51,508
2172,0.24,0.98,-9.93,508
2173,0.76,0.3,-8.8,508
2174,1.03,0.83,-9.54,508
2175,0.84,1.39,-11.01,508
2176,0.24,1.58,-11.86,508
2177,0.58,1.24,-10.28,508
2178,0.95,0.94,-9,508
2179,0.73,1.05,-8.96,508
2180,0.17,0.72,-9.81,508
2181,0.69,0.53,-11.71,508
2182,1.36,0.3,-11.13,508
2183,1.21,0.72,-10,508
2184,0.91,1.24,-9.08,508
2185,0.54,1.13,-9.81,508
2186,1.36,1.77,-11.13,508
2187,1.36,1.5,-10.82,508
2188,1.06,0.87,-9.08,508
2189,0.2,0.9,-10.39,508
2190,0.17,1.13,-10,508
2191,0.09,0.94,-11.05,508
2192,0.09,0.49,-10.59,508
2193,0.35,0.83,-9.35,508
2194,0.95,0.79,-9.77,508
2196,1.03,0.6,-9.31,508
2197,1.36,0.6,-9.89,508
2198,0.84,0.94,-9.66,508
2199,0.24,1.02,-10.74,508
2200,-0.13,0.15,-10.55,508
2201,0.17,0.3,-10.7,508
2202,0.32,0.11,-10.43,508
2203,1.29,0.11,-10.47,508
2204,1.66,0.79,-11.01,508
2205,1.14,0.26,-10.86,508
2206,0.17,0.08,-9.89,508
2207,0.02,0.64,-9.39,508
2208,0.17,0.64,-9.35,508
2209,0.17,1.84,-10.93,508
2210,0.84,0.83,-10.55,508
2211,0.2,-0.34,-10.08,508
2212,0.84,1.2,-10.97,508
2213,1.25,2.03,-10.86,508
2214,0.65,0.56,-11.44,508
2215,1.18,0.83,-10.55,508
2216,1.1,0.56,-9.35,508
2217,0.8,0.68,-8.42,508
2218,0.8,1.24,-8.8,508
2219,0.88,1.28,-9.62,508
2220,0.32,0.94,-9.77,508
2221,0.17,0.83,-9.39,508
2222,1.51,0.11,-9.93,508
2223,1.36,0.9,-11.2,508
2224,1.25,1.73,-11.78,508
2225,0.62,0.72,-9.73,508
2226,1.03,0.94,-10.7,508
2227,1.06,0.56,-9.89,508
2228,0.28,0.49,-10.7,508
2229,0.17,0.72,-10.74,508
2230,0.05,1.02,-10.51,508
2232,0.35,0.68,-11.05,508
2233,0.28,0.08,-9.73,508
2234,0.24,0.41,-9.62,508
2235,0.84,0.49,-10.16,508
2236,0.8,0.08,-9.93,508
2237,0.28,0.45,-10.16,508
2238,0.17,0.64,-10.86,508
2239,0.73,0.26,-11.13,508
2240,0.99,0.04,-10.89,508
2241,0.13,0.64,-9.42,508
2242,-0.28,0.68,-8.61,508
2243,0.17,1.02,-9.62,508
2244,0.73,0.68,-9.04,508
2245,1.36,1.32,-9.58,508
2246,1.47,1.09,-11.01,508
2247,1.51,1.13,-10.74,508
2248,1.85,1.09,-10.89,508
2249,1.51,1.54,-10.08,508
2250,0.5,1.05,-11.09,508
2251,0.17,1.88,-10.08,508
2252,0.17,1.28,-9.54,508
2253,0.13,0,-9.62,508
2254,0.54,0.08,-10.82,508
2255,1.06,1.02,-11.17,508
2256,0.95,0.3,-10,508
2257,0.88,0.08,-8.61,508
2258,0.76,0.3,-8.61,508
2259,0.73,0.49,-9.66,508
2260,0.2,0.72,-10.62,508
2261,0.17,0.56,-10.51,508
2262,0.17,0.11,-9.15,508
2263,0.2,0.53,-10,509
2264,0.8,0.83,-10.35,508
2265,0.84,0.08,-9.85,508
2266,0.8,0.26,-9.39,508
2267,0.84,0.87,-11.24,508
2268,0.2,0.26,-10.97,508
2270,0.17,0.3,-10.82,508
2271,0.5,1.32,-10.78,508
2272,0.17,0.94,-9.89,508
2273,0.09,0.75,-9.46,508
2274,0.8,1.13,-11.28,508
2275,0.69,0.26,-10.24,508
2276,0.88,-0.22,-9.46,508
2277,0.09,0.19,-9.39,508
2278,-0.02,0.98,-9.58,508
2279,0.13,0.94,-9.31,508
2280,0.13,0.3,-9.54,508
2281,0.65,0.56,-9.39,508
2282,0.43,1.39,-9.89,508
2283,-0.06,1.54,-11.71,508
2284,1.62,-1.13,-10.43,508
2285,0.17,-0.04,-8.77,508
2286,0.02,1.65,-10.08,508
2287,0.2,1.02,-10.43,508
2288,1.1,-0.37,-9.89,508
2289,1.14,0.83,-10.31,508
2290,1.21,1.62,-11.13,508
2291,1.03,0.87,-10.39,508
2292,1.06,-0.37,-9.73,508
2293,0.8,0.75,-11.32,508
2294,0.17,0.56,-11.55,508
2295,0.17,0.11,-10.47,508
2296,0.35,0.68,-8.42,508
2297,1.25,0.98,-11.13,508
2298,1.81,0.3,-11.59,508
2299,1.36,0.53,-10.7,508
2300,0.24,0.6,-8.57,508
2301,0.69,0.9,-9.5,508
2302,0.32,1.92,-9.39,508
2303,0.8,1.28,-9.77,508
2305,1.29,0.53,-9.27,508
2306,1.1,1.17,-10.82,508
2307,0.24,2.03,-11.36,508
2308,0.69,0.38,-9.89,508
2309,0.91,0.83,-8.57,508
2310,0.99,0.75,-8.88,508
2311,0.24,0.08,-8.46,508
2312,0.09,0.3,-9.54,508
2313,0.17,1.24,-10.39,508
2314,0.17,0.56,-10.55,508
2315,0.2,0.19,-9.54,508
2316,0.62,0.64,-8.8,508
2317,0.91,0.49,-11.67,508
2318,0.84,0.64,-10.89,508
2319,0.73,0.08,-9.58,508
2320,0.24,0.08,-9.69,508
2321,0.13,0.3,-9.66,508
2322,0.17,1.13,-9.81,508
2323,0.17,1.05,-9.62,508
2324,0.17,0.53,-9,508
2325,0.65,0.15,-9.62,508
2326,0.99,0.45,-10.93,508
2327,1.1,0.23,-10.66,508
2328,0.84,0.34,-9.66,508
2329,0.47,0.08,-10.55,508
2330,0.84,0.64,-11.59,508
2331,0.88,0.26,-11.32,508
2332,0.17,0.41,-9.97,508
2333,0.62,1.13,-9.11,508
2334,1.18,0.83,-9.77,508
2335,0.62,0.15,-10.12,508
2336,-0.06,0.94,-10.47,508
2337,-0.13,1.47,-10.2,508
2338,0.17,0.3,-10.59,508
2339,0.32,0.15,-11.59,508
2340,1.74,0.6,-12.44,508
2341,1.4,0.64,-12.67,508
2343,0.17,0.9,-9.73,508
2344,0.09,1.2,-7.99,508
2345,0.24,0.79,-9.85,508
2346,0.65,-0.04,-10.86,508
2347,1.18,0.41,-10.62,508
2348,1.03,0.75,-11.36,508
2349,0.8,0.64,-11.32,508
2350,1.03,0.87,-10.97,508
2351,0.62,0.26,-9.66,508
2352,0.17,0.08,-10.24,508
2353,0.47,0.98,-10.89,508
2354,0.17,0.34,-9.58,508
2355,0.8,0.08,-9,508
2356,1.06,0.08,-10.93,508
2357,1.7,0.38,-11.75,508
2358,0.54,0.11,-10.39,508
2359,0.43,0.72,-9.54,508
2360,0.73,0.53,-9.39,508
2361,0.39,0.75,-10.04,508
2362,0.2,1.05,-9.46,508
2363,0.39,1.47,-10.93,508
2364,1.03,1.35,-11.17,508
2365,0.2,1.13,-10.47,508
2366,0.24,0.87,-9.66,508
2367,1.06,0.11,-9.35,508
2368,1.29,0.26,-9.97,508
2369,1.29,1.02,-9.69,508
2370,0.91,0.75,-9.97,508
2371,1.03,0.9,-10,508
2372,0.91,1.43,-10.04,508
2373,0.99,0.79,-10.12,508
2374,0.99,0.08,-10.35,508
2375,0.58,0.83,-9.85,508
2376,0.17,0.83,-8.69,508
2377,0.2,0.64,-10.16,508
2379,0.65,1.13,-10.97,508
2380,0.43,0.53,-10.82,508
2381,0.47,0.56,-10.24,508
2382,0.91,0.49,-10.59,508
2383,0.95,0.08,-9.85,508
2384,0.99,0.56,-9.58,508
2385,1.25,0.72,-10.97,508
2386,1.36,0.19,-11.67,508
2387,0.43,0.79,-10.66,508
2388,0.09,0.08,-7.84,508
2389,0.24,0.08,-9,508
2390,0.17,1.13,-11.59,508
2391,0.13,0.9,-10.08,508
2392,0.05,0.72,-9.54,508
2393,0.35,1.39,-8.57,508
2394,1.29,0.08,-10.93,508
2395,1.18,0.26,-10.86,508
2396,1.25,1.17,-10.39,508
2397,1.18,0.15,-10.43,508
2398,0.95,0.6,-9.77,508
2399,0.8,0.83,-8.96,508
2400,0.73,0.34,-9.66,508
2401,0.24,0.3,-9.58,508
2402,0.17,0.94,-10.82,508
2403,0.47,0.04,-10.93,508
2404,0.62,-0.07,-9.77,508
2405,0.84,0.15,-10.2,508
2406,0.47,0.08,-8.65,508
2407,0.2,-0.11,-9.69,508
2408,0.24,0.53,-10.31,508
2409,0.32,0.87,-10.28,508
2410,0.47,0.53,-9.85,508
2411,0.24,0.08,-9.97,508
2412,0.65,0.6,-10.93,508
2413,0.8,0.68,-10.35,508
2414,0.76,0.08,-9.73,508
2416,0.76,0.08,-10.47,508
2417,0.73,0.75,-10.93,508
2418,0.24,0.34,-10.35,508
2419,0.17,0.26,-9.35,508
2420,0.2,0.68,-9.97,508
2421,0.17,0.08,-10.66,508
2422,0.43,0.08,-9,508
2423,0.84,0.56,-10.31,508
2424,1.1,0.11,-11.09,508
2425,1.1,0.15,-10.7,508
2426,0.17,0.87,-9.04,508
2427,0.8,0.6,-8.46,508
2428,0.76,0.68,-11.01,508
2429,0.17,0.72,-11.55,508
2430,0.17,1.24,-10.62,508
2431,0.17,1.2,-9.73,508
2432,0.24,0.49,-10.24,508
2433,1.33,0.79,-11.24,508
2434,1.59,0.08,-11.09,508
2435,1.29,1.39,-10.86,508
2436,1.06,1.35,-9.97,508
2437,0.88,0.53,-9.04,508
2438,0.28,0.56,-8.19,508
2439,0.17,0.9,-8.73,508
2440,0.84,0.45,-10.93,508
2441,1.74,0.3,-12.17,508
2442,1.51,1.28,-11.67,508
2443,0.99,0.68,-10.31,508
2444,0.8,0.72,-8.96,508
2445,0.2,0.08,-7.45,508
2446,0.17,0.83,-10.89,508
2447,0.17,1.65,-13.06,508
2448,0.28,0.49,-10.66,508
2449,0.17,1.54,-10.59,508
2450,1.4,1.13,-9.58,508
2452,0.88,1.09,-10.47,508
2453,0.05,2.07,-11.05,508
2454,0.99,0.64,-9.81,508
2455,0.84,-0.37,-9.85,508
2456,0.91,1.84,-9.89,508
2457,1.06,1.05,-9.58,508
2458,1.18,0.08,-10.28,508
2459,1.03,1.54,-10.16,508
2460,0.84,1.2,-9.85,508
2461,0.24,0.23,-9.08,508
2462,1.06,0.34,-9.46,508
2463,1.03,0.23,-10.24,508
2464,1.25,0.11,-10.24,508
2465,0.91,0.15,-10.66,508
2466,0.58,0.23,-10.86,508
2467,0.13,0.11,-10.74,508
2468,-0.06,0,-10.12,508
2469,1.18,1.24,-10.82,508
2470,0.99,0.9,-9.97,508
2471,0.62,-0.11,-9.93,508
2472,0.43,0.08,-9.77,508
2473,0.88,0.64,-10.62,508
2474,0.65,0.11,-10.31,508
2475,0.65,0.26,-9.58,508
2476,0.8,0.68,-10.31,508
2477,0.2,0.23,-9.62,508
2478,0.47,0.19,-10.7,508
2479,0.39,0.34,-10.74,508
2480,0.47,0.38,-11.09,508
2481,0.24,0.38,-10.24,508
2482,0.62,0.49,-8.15,508
2483,0.58,0.08,-9.58,508
2484,0.65,0.75,-10.97,508
2485,0.2,1.13,-12.02,508
2486,0.24,1.17,-9.73,508
2487,0.69,0.68,-9.69,508
2489,1.06,0.6,-10.28,508
2490,1.06,0.64,-9.69,508
2491,1.14,0.83,-9.97,508
2492,1.1,0.6,-9.85,508
2493,0.88,0.64,-9.93,508
2494,0.2,0.79,-9.77,508
2495,0.69,0.38,-9.77,508
2496,0.69,1.28,-10.51,508
2497,0.8,1.35,-10.04,508
2498,0.69,0.72,-9.62,508
2499,0.43,0.83,-10.2,508
2500,0.5,1.28,-10.7,508
2501,0.84,0.04,-10.93,508
2502,1.21,0.75,-10.12,508
2503,1.14,1.13,-10.93,508
2504,0.99,0.6,-8.77,508
2505,1.1,0.98,-9.77,508
2506,1.18,0.94,-9.23,508
2507,1.29,0.11,-10.55,508
2508,0.76,0.08,-10.66,508
2509,0.17,1.54,-11.13,508
2510,0.17,1.09,-9.42,508
2511,0.17,0.08,-9.11,508
2512,0.43,0.26,-10.7,508
2513,0.99,0.34,-10.66,508
2514,1.18,0.87,-10.47,508
2515,0.84,1.54,-10.93,508
2516,0.65,0.68,-10.16,508
2517,0.2,0.41,-9.46,508
2518,0.88,0.15,-10.12,508
2519,1.55,0.53,-11.78,508
2520,1.77,0.6,-12.71,508
2521,0.99,0.98,-9.73,508
2522,0.35,1.28,-8.92,508
2523,1.21,0.08,-10.16,508
2524,1.36,0.79,-11.71,508
2526,0.39,1.65,-11.28,508
2527,0.13,0.64,-9.58,508
2528,0.43,0.11,-7.68,508
2529,0.54,1.2,-10.62,508
2530,0.17,1.13,-11.24,508
2531,0.47,-0.07,-10.93,508
2532,1.66,0.94,-10.12,508
2533,1.14,0.45,-9.39,508
2534,1.14,0.9,-10.93,508
2535,1.06,0.98,-9.58,508
2536,0.47,1.05,-9.11,508
2537,0.17,1.09,-10.51,508
2538,0.39,0.49,-10.93,508
2539,0.84,0.3,-9.89,508
2540,0.99,0.08,-10.35,508
2541,0.76,0.11,-9.97,508
2542,0.91,1.24,-10.43,508
2543,0.95,0.08,-10.78,508
2544,1.03,0.04,-10.24,508
2545,0.5,0.9,-9.15,508
2546,0.5,0.72,-10.74,508
2547,0.24,0.23,-11.01,508
2548,0.17,0.6,-11.01,508
2549,0.17,0.08,-9.66,508
2550,0.99,0.11,-9.27,508
2551,1.25,0.87,-10.24,508
2552,1.29,0.08,-10.04,508
2553,0.8,0.04,-9.54,508
2554,0.2,0.08,-8.15,508
2555,0.69,0.83,-9.04,508
2556,0.76,2.03,-10.86,508
2557,1.4,0.26,-11.48,508
2558,1.66,1.47,-10.62,508
2559,0.99,1.24,-8.46,508
2560,1.1,0.45,-9.81,508
2561,1.25,0.6,-9.89,508
2563,1.1,1.62,-10.86,508
2564,1.1,0.08,-9.62,508
2565,0.65,0.08,-9.69,508
2566,0.17,1.24,-9.69,508
2567,0.17,1.24,-10.04,508
2568,0.2,0.64,-11.01,508
2569,0.17,1.28,-10.7,508
2570,0.17,1.09,-8.65,508
2571,0.43,0.11,-8.77,508
2572,0.99,0.41,-9.97,508
2573,1.36,1.02,-11.2,508
2574,1.14,0.75,-9.85,508
2575,1.1,1.05,-10.93,508
2576,1.18,1.09,-11.13,508
2577,1.4,0.98,-10.89,508
2578,1.03,1.09,-9.58,508
2579,0.95,1.02,-8.5,508
2580,1.44,0.15,-9.89,508
2581,0.91,0.64,-9.89,508
2582,0.2,1.95,-11.51,508
2583,0.28,1.39,-10.28,508
2584,0.8,1.17,-9.85,508
2585,1.03,0.6,-10,508
2586,0.88,0.83,-9.46,508
2587,1.21,1.5,-10.89,508
2588,0.76,0.41,-9.97,508
2589,0.62,0.08,-10.39,508
2590,0.39,0.64,-10.97,508
2591,0.28,0.87,-10.82,508
2592,0.65,1.32,-9.85,508
2593,0.35,0.38,-10,508
2594,0.95,1.05,-10,508
2595,0.58,0.83,-8.96,508
2596,0.17,0.23,-9.77,508
2597,1.33,0.87,-10.55,508
2598,0.8,1.62,-10.97,508
2600,-0.24,0.98,-10.04,508
2601,0.69,0.87,-11.17,508
2602,1.89,0.79,-9.46,508
2603,1.21,1.5,-9.81,508
2604,1.59,1.54,-9.85,508
2605,1.18,1.2,-10.97,508
2606,1.66,0.08,-11.01,508
2607,0.35,2.59,-10.08,508
2608,0.73,0.08,-9.04,508
2609,1.06,-0.67,-8.38,508
2610,0.73,1.13,-12.21,508
2611,-0.43,-0.6,-12.56,508
2612,1.03,2.37,-11.05,508
2613,1.14,1.47,-9.23,508
2614,0.13,0.08,-8.11,508
2615,0.43,-0.19,-10.16,508
2616,1.51,0.94,-11.94,508
2617,1.21,0.11,-10.31,508
2618,0.84,0.08,-9.27,508
2619,0.99,0.75,-10.86,508
2620,0.99,0.53,-11.01,508
2621,1.51,1.02,-11.2,508
2622,1.06,0.38,-10.24,508
2623,0.99,0.87,-10.24,508
2624,0.65,1.54,-9.97,508
2625,0.54,1.13,-10.08,508
2626,0.17,-0.3,-8.3,508
2627,0.8,0.94,-9.69,508
2628,1.03,1.43,-9.85,508
2629,0.99,0.26,-9.5,508
2630,0.99,0.08,-9.04,508
2631,1.1,1.17,-11.01,508
2632,0.8,0.08,-10.93,507
2633,0.5,1.02,-9.81,508
2634,0.24,1.54,-9.08,508
2636,0.17,1.32,-10.66,508
2637,0.24,0.15,-10.93,508
2638,0.17,0.94,-10.2,508
2639,0.76,1.02,-8.34,508
2640,0.88,0.08,-8.77,508
2641,1.29,0.08,-10.86,508
2642,1.18,0.94,-10.7,508
2643,0.88,0.3,-9.89,508
2644,1.06,0.26,-9.89,508
2645,0.54,1.13,-10.86,508
2646,0.28,0.79,-11.32,508
2647,0.17,0.19,-10.16,508
2648,0.69,0.6,-9.27,508
2649,1.21,0.11,-9.19,508
2650,1.51,0.68,-11.44,508
2651,1.36,0.23,-11.71,508
2652,1.29,0.15,-10.62,508
2653,0.62,0.75,-9.11,508
2654,0.88,0.23,-8.65,508
2655,0.13,0.08,-9.31,508
2656,0.13,0.72,-10.59,508
2657,0.2,1.24,-10.82,507
2658,0.24,1.02,-10.43,508
2659,0.88,0.49,-9.54,508
2660,1.18,0.68,-10.2,508
2661,1.06,1.2,-11.05,508
2662,0.47,1.17,-10.35,508
2663,0.47,1.02,-8.53,508
2664,0.65,0.9,-9.85,508
2665,1.06,0.53,-10.7,508
2666,1.29,0.26,-9.89,508
2667,1.18,0.34,-9.27,508
2668,1.21,0.83,-11.01,508
2669,0.95,0.11,-10.43,508
2670,0.76,0.26,-8.61,508
2671,0.88,0.08,-9.69,508
2673,0.39,1.09,-10.39,508
2674,0.32,1.09,-11.28,508
2675,0.13,0.87,-10.7,508
2676,0.17,0.75,-8.77,508
2677,0.24,0.08,-8.57,508
2678,0.65,0.11,-10.28,508
2679,0.8,0.41,-10.35,508
2680,1.03,0.08,-9.66,508
2681,1.06,0.79,-8.69,508
2682,0.73,1.09,-9.39,508
2683,0.62,0.08,-10.66,508
2684,0.32,1.13,-10.86,508
2685,0.2,1.05,-9.46,508
2686,0.35,0.08,-8.53,508
2687,0.65,0.53,-10.12,508
2688,0.28,0.72,-11.2,508
2689,0.17,0.08,-11.01,508
2690,0.5,0.72,-9.89,508
2691,0.47,0.34,-9,508
2692,0.43,0.08,-10.51,508
2693,0.28,0.87,-11.59,508
2694,0.32,0.83,-11.48,508
2695,0.28,0.23,-10.82,508
2696,0.73,0.41,-8.38,508
2697,0.24,1.47,-8.69,508
2698,0.88,0.11,-10.89,508
2699,1.4,0.04,-10.74,508
2700,1.33,1.5,-10.51,508
2701,0.91,0.04,-10.93,508
2702,0.76,0.04,-9.69,508
2703,0.62,0.34,-8.88,508
2704,0.24,0.75,-10.59,508
2705,0.17,0.38,-11.13,508
2706,0.24,0.45,-9.89,508
2707,0.24,0.41,-9.23,508
2708,0.76,0.08,-9.66,508
2710,0.91,0.64,-10.35,508
2711,1.1,0.38,-10.78,508
2712,0.8,0.49,-10.16,508
2713,0.35,0.49,-9.73,508
2714,0.47,0.94,-10.28,508
2715,0.62,1.39,-10.93,508
2716,0.32,0.75,-10.97,508
2717,0.2,1.43,-9.42,508
2718,0.73,1.35,-10.31,508
2719,0.8,0.38,-11.4,508
2720,1.33,1.05,-11.28,508
2721,0.91,0.75,-9.5,508
2722,0.95,0.72,-10.78,508
2723,1.14,0.6,-10.16,508
2724,1.36,0.08,-9.73,508
2725,1.51,0.56,-10.16,508
2726,0.76,0.68,-10.35,508
2727,0.13,0.56,-10.93,508
2728,0.28,1.43,-11.59,508
2729,-0.02,0.94,-10.93,507
2730,0.58,0.6,-9.46,507
2731,0.62,0.64,-9.93,507
2732,1.25,0.72,-10.24,508
2733,1.29,0.08,-11.32,508
2734,0.88,0.19,-8.73,508
2735,0.32,0.87,-9.89,508
2736,0.28,0.04,-10.12,508
2737,0.43,0.68,-10.55,508
2738,0.17,1.77,-9.31,508
2739,0.47,0.83,-9.11,508
2740,0.13,-0.11,-9.81,508
2741,0.91,0.94,-10.31,508
2742,1.21,0.08,-10.47,508
2743,0.8,0.04,-9.54,508
2744,0.73,0.49,-8.77,508
2746,0.58,0.68,-9.93,508
2747,0.2,0.08,-10.47,508
2748,0.47,0.9,-10.2,508
2749,0.24,1.17,-9.69,508
2750,0.2,0.34,-9.73,508
2751,0.17,0.79,-9.81,508
2752,0.5,0.64,-9.89,508
2753,1.06,0.08,-10.66,508
2754,1.21,0.72,-10.74,508
2755,1.06,0.75,-10.04,508
2756,0.91,0.23,-10.08,508
2757,0.76,0.19,-9.23,508
2758,0.8,0.64,-10.74,508
2759,0.35,0.26,-10.24,507
2760,0.28,0.53,-11.01,508
2761,0.54,0.98,-11.51,508
2762,0.2,0.11,-10.51,508
2763,0.62,0.08,-9.77,507
2764,0.84,0.53,-9.73,508
2765,0.54,0.26,-9.58,508
2766,0.35,0.08,-9.85,507
2767,0.17,0.6,-11.48,507
2768,0.32,0.49,-11.01,507
2769,0.43,0.34,-10.74,507
2770,1.03,0.08,-10,507
2771,0.76,1.09,-9.15,508
2772,0.43,0.68,-10.04,508
2773,0.58,1.2,-10.74,508
2774,0.2,0.49,-10.78,508
2775,0.73,0.68,-10.43,508
2776,0.99,0.64,-10.7,508
2777,0.5,1.09,-9.58,508
2778,0.2,0.68,-8.69,508
2779,0.17,0.68,-9.39,508
2780,0.69,0.75,-10.97,508
2781,1.06,0.08,-11.28,508
2783,0.73,0.08,-9,508
2784,0.43,1.02,-9.46,508
2785,0.5,0.56,-10.82,508
2786,0.17,-0.07,-9.23,508
2787,0.39,1.17,-9.54,507
2788,0.17,0.83,-9.69,507
2789,0.17,-0.07,-10.04,507
2790,0.35,1.17,-10.47,507
2791,0.58,0.19,-9.39,508
2792,0.24,-0.04,-8.8,507
2793,0.54,0.72,-11.05,508
2794,0.69,0.56,-11.36,508
2795,0.28,0.19,-10.04,507
2796,0.32,0.72,-10.04,508
2797,0.5,0.26,-8.73,507
2798,1.14,0.08,-10.86,507
2799,1.18,0.49,-11.55,507
2800,0.2,0.3,-10.2,507
2801,0.17,0.6,-10.12,508
2802,0.39,0.75,-10.93,507
2803,0.62,1.32,-11.13,508
2804,0.69,1.2,-10.93,508
2805,0.24,0.94,-9,507
2806,0.76,0.79,-8.03,507
2807,0.88,0.87,-10.93,508
2808,0.73,0.04,-11.86,508
2809,1.47,0.34,-11.28,508
2810,1.21,0.45,-10,508
2811,0.2,0.56,-9.69,508
2812,0.43,0.9,-10.24,508
2813,-0.02,1.2,-11.78,508
2814,0.58,1.05,-10.39,508
2815,0.8,0.04,-9.54,508
2816,1.18,0.08,-10.31,508
2817,0.54,0.08,-11.51,508
2818,-0.69,0,-10.82,508
2820,0.65,1.02,-10.43,507
2821,1.14,0.87,-10.66,508
2822,0.95,0.34,-10.62,508
2823,0.54,1.02,-11.01,507
2824,-0.24,-0.37,-10.43,508
2825,0.35,0.41,-10.28,508
2826,0.65,0.38,-10.47,507
2827,0.39,0.11,-10.93,508
2828,0.2,0.49,-10.97,508
2829,0.8,0.08,-10.82,508
2830,0.43,0.08,-9.97,508
2831,0.13,0.53,-9.27,508
2832,0.13,0.04,-10.16,508
2833,0.47,0.11,-10.47,508
2834,0.39,0.26,-10.12,508
2835,0.32,0.56,-11.36,508
2836,0.91,0.08,-12.02,508
2837,0.47,0.15,-11.4,507
2838,0.17,0.72,-10.43,507
2839,0.17,0.04,-7.99,507
2840,0.17,0.49,-8.57,508
2841,0.47,1.32,-10.12,507
2842,0.13,0.72,-11.67,508
2843,0.17,0.9,-10.86,507
2844,1.1,0.83,-10.55,508
2845,0.99,-0.07,-9.62,508
2846,0.88,0.64,-9.46,508
2847,0.91,1.28,-9.35,507
2848,1.1,-0.11,-9.81,508
2849,0.95,0.08,-9.5,507
2850,0.47,0.83,-10.31,508
2851,0.28,-0.04,-11.71,508
2852,0.24,0.87,-11.17,507
2853,0.73,0.38,-9.23,507
2854,1.14,0.08,-10.39,507
2855,1.03,0.53,-10.93,508
2857,1.06,0.38,-11.17,508
2858,1.06,-0.19,-9.5,507
2859,0.54,0.72,-9.97,508
2860,0.13,0.49,-8.84,508
2861,-0.21,0.98,-10.66,507
2862,0.2,1.8,-11.2,508
2863,0.95,0.53,-10.82,509
2864,1.4,0.75,-10.7,508
2865,1.14,1.73,-9.11,507
2866,0.91,-0.3,-10.31,507
2867,0.8,0.08,-8.84,507
2868,0.84,1.17,-9.69,507
2869,0.95,0,-10.97,507
2870,0.17,1.28,-10.16,508
2871,0.39,1.24,-8.84,508
2872,0.2,0.15,-10.16,507
2873,0.2,1.05,-10.08,508
2874,0.5,0.87,-9.35,507
2875,0.62,0.04,-9.19,507
2876,0.84,0.68,-10.55,507
2877,0.99,0.15,-10.93,507
2878,1.21,0.11,-10.35,507
2879,0.65,1.09,-8.61,507
2880,0.28,1.09,-9.66,507
2881,0.43,-0.11,-10.55,507
2882,0.47,1.88,-10.93,507
2883,0.43,0.6,-9.93,507
2884,0.24,0.08,-9.11,507
2885,0.65,1.17,-10.16,507
2886,0.69,0.04,-10.35,507
2887,0.69,0.04,-9.39,507
2888,0.65,0.94,-9,507
2889,0.69,0.26,-10.43,507
2890,0.47,0.08,-10.89,507
2891,0.2,0.94,-9.73,507
2893,0.17,0.19,-9.69,507
2894,0.17,0.6,-9.66,507
2895,0.24,1.13,-9.89,507
2896,0.17,0.15,-9.23,508
2897,0.76,0.04,-10.16,507
2898,0.95,0.72,-10.89,507
2899,0.84,-0.22,-10.43,507
2900,0.73,0.45,-9.5,507
2901,0.28,1.13,-9.58,507
2902,0.28,-0.04,-10.62,507
2903,0.43,1.05,-10.97,507
2904,0.2,1.02,-9.35,507
2905,0.2,0.04,-8.42,507
2906,0.5,0.53,-9.97,507
2907,0.73,0.45,-10.89,508
2908,0.65,0.26,-10.47,508
2909,0.73,0.53,-10.12,508
2910,0.76,0.41,-9.08,508
2911,1.1,0.08,-10.39,508
2912,0.84,1.05,-11.4,507
2913,0.17,0.45,-9.73,507
2914,0.24,0.53,-8.84,507
2915,0.28,1.2,-10.08,508
2916,0.5,0.94,-11.24,507
2917,0.28,1.02,-10.55,507
2918,0.58,1.05,-9.11,507
2919,0.84,0.45,-9.81,507
2920,1.21,0.49,-10.43,508
2921,1.14,0.19,-9.62,508
